Reviewer,Rating,Date,Review
Chris Hanver,5,7/21/2022 9:06,"baru pertama kali pakai aplikasi, keliatannya cukup mudah. semoga ada peningkatan terus dari aplikasinya."
taekwon soul,1,7/20/2022 13:50,"Bad app, 200m to standing at front BK still not detect BK location, so how to PO BK by this app?? (My app googlemap work well)"
YR,5,7/20/2022 1:14,lebih murah price nya dibanding via aplikasi jasa lain
Shafa Laudza,1,7/16/2022 11:10,"aplikasi tidak efisien. karena setelah order via aplikasi harus konfirmasi ke kasir, dan mengantri di baris antrian. seharusnya jika sudah order dan bayar via aplikasi, kasir tinggal print dan buatkan pesanan tanpa harus menunggu konfirmasi dari pelanggan yang bersangkutan."
Syaiful Syam,3,7/16/2022 9:28,Pointnya tdk bertambah setelah pemesanan melalui aplikasi.. tolong diperbaiki dong.. lumayan nih dapat pointnya..
Nurahmad Suhaeli,3,7/15/2022 14:09,"Saya sudah beberapa kali order via aplikasi. Selalu ditetapkan outlet nya yg di Kota Wisata. Padahal lokasi alamat saya di jatiasih. Mgk kl dihitung garis lurus, Outlet Kota Wisata lebih dekat. Tapi kl dihitung jarak tempuh, lebih dekat dr outlet Jatiasih. Mungkin sebaiknya bisa pilih outlet ketika order via aplikasi. Atau cara pengukuran jaraknya, jangan berdasarkan jarak garis lurus, tapi pakai jarak tempuh."
sun's tea,2,7/15/2022 12:34,"what a bad app, coupon is suppose to reduce the total amount, not to add it. i got coupon for chicken burger but the price goes up after i apply it. please fix it."
Fariz “Ichal Item” Faisal,1,7/14/2022 8:59,"Ini apps kenapa ya .. masak baru instal ulang apps nya, tidak ada pilihan login !!!!!! .. malah dipaksa daftar .. udah daftar malah bilang email sudah terdaftar !!!.. mau nya apaaaannnnnn"
Kelvin Ang,5,7/11/2022 10:40,"Aplikasinya sangat berguna, bisa mempermudah buat beli burger dan banyak promo menarik"
Aam S,1,7/9/2022 9:51,"Ketika daftar dan input email, aplikasi bilang email sudah digunakan. Terus kalau ga punya email lagi saya harus create email baru gitu? Signin via email juga ga ada."
Muhammad aldi alauudin,1,7/9/2022 9:15,Alot promo kalau biasa normal aja
Caksa Wintang,1,7/6/2022 0:39,Katanya blm ada delivery di Batam
William Kamidin,5,7/3/2022 11:43,ok
Frans Agustinus,5,7/2/2022 10:12,love BK Cheese burger
Wang Ryeo,1,7/2/2022 9:42,Why is the subtotal price different when I already want to checkout? Pls fix this problem
Adhi Wibisana,5,6/30/2022 13:09,Verygood
Marthin Lim,1,6/30/2022 6:42,"Setelah 6 angka verifikasi code dimasukkan, tidak bisa ditekan selanjutnya. Malah terus terusan suruh menunggu 1 menit untuk kirim ulang verificatiin code. Aplikasi blm beres gini mending jgn taruh di play store, buang buang kuota gua, auto uninstal."
Hadi Soenarwan Oe,5,6/29/2022 15:42,ok
Rumi Darmawan (Rumi),4,6/23/2022 16:26,Kopinya gak enak. Mohon direvisi
Doddy Tandiari,5,6/23/2022 3:50,hadiah nya lumayan
xara beny,5,6/18/2022 13:28,"good taste, good price"
Rudianto Rudianto,5,6/16/2022 1:53,good app
ira d. novarina,5,6/16/2022 0:48,"good app, love the free coupons! thanks"
Refia Karsista,5,6/15/2022 11:45,semoga bs terus2an dapet promo n gratisan trs bs ditukerin di semua outlet BK seluruh indo dan stoknya tersedia semua ya aamiin (jangan bohong jangan nipu jangan cuman gimmick/clickbait ya min
Abdul Tzy,5,6/14/2022 15:36,awesome taste
Michael Antonio,2,6/12/2022 4:00,tidak bisa login. cuma ada menu register akun baru aja.. lucu
Andreodinata Julianto,3,6/10/2022 10:08,gak bisa login utk pelanggan lama
apran sakti ismail,5,6/9/2022 6:20,very good
rolly hariyanto,2,6/7/2022 8:07,banyakin hadiah
a rdchya,5,6/5/2022 6:23,guud
Andreas Mulianto,3,6/3/2022 12:22,"Kalau belinya lewat aplikasi maka pembelian akan terekam di aplikasi, tapi kalau belinya di outlet walaupun SDH menyebutkan no HP, transaksinya tidak akan pernah terekam. Saya sudah pernah complain dan masih terjadi sampai sekarang. Buruk sekali!!"
Intan Pertiwi,1,5/31/2022 19:39,"I ordered some food and beverage, but my crown doesnt added. And i also lose some crown with no reason."
Andhika Widyadwatmaja,1,5/29/2022 12:35,"First time pakai app burger king. Kecewa sih, pesenan nggak diantar antar. Sampai saya tunggu 2 jam tidak kunjung datang. Akhirnya saya ambil sendiri ke tempat. Pengalaman buruk pakai app ini. Tolong pelayanan diperbaiki lagi. Kapok dah"
Nelly Triana,5,5/29/2022 9:37,"utk first order bagus, smg kedepanya tambah bagus"
Niki S,2,5/27/2022 13:34,"Right now, no SMS OTP coming and force me to always wait for 1 minute verification."
5C-25- Oscar Salim Wong,5,5/26/2022 3:03,Good
Alvino Luberzki,5,5/24/2022 8:48,"aplikasi responsif, pemakaiannya cukup mudah dipahami.. Harganya juga terjangkau dan banyak promonya"
Stephen James Booth,5,5/23/2022 10:12,we really enjoyed their medium-sized cheeseburger packages
Bagus Skipway,5,5/21/2022 3:02,mantap.
video aneh,4,5/18/2022 10:32,"Sdh install sdh daftar tp sayang kli ada promo gratis gak kebagian , krn lokasi . Hrs bayar ongkir ,jd gak gratis"
Gama Abu Gasyi,5,5/14/2022 12:54,One of My Favorite
- - (‪Karaage263‬),2,5/14/2022 3:49,"Biasanya selalu gratis ongkir kenapa sekarang malah ada ongkirnya, apa bedanya sama order di aplikasi ojol lainnya"
Eric Siawan,5,5/9/2022 8:30,good
Ahmad Fairu Zabadi,1,5/7/2022 14:01,Tipu..di kasir BK Joglo meruya ada banner dapat 10 point setiap transaksi pertama..ternyata gak dapat.
DEWITRI 185,5,5/7/2022 7:44,good taste
Whatsoever,5,5/7/2022 7:00,Why the apps not include with payment sistem? And not convenience for me
Deny Andreas,5,5/5/2022 17:07,happt
oreezeu,5,4/29/2022 10:23,the besttttttt
Yohana Ratnasari,5,4/28/2022 13:13,enak dan banyak kupon discount
Azrul Makarim,5,4/28/2022 8:41,mantap
Muhamad Iqbal,5,4/26/2022 14:37,keren
Gandy Gibran,5,4/25/2022 11:29,Ok
Husk,5,4/23/2022 8:40,The app always broken
Tri Yudha Yehuda Tampubolon,1,4/22/2022 12:50,"pertama kali order. error delivery, ga ada konfirmasi. Harus Telp call center sendiri, itu juga lama proses. Entah duitnya bakal balik apa engga msh menunggu. Warbiasa."
Diva Ardelia,5,4/20/2022 7:19,great display I love it
Ima Hidayat,5,4/17/2022 7:33,good app
Alfian Dagung,3,4/17/2022 2:44,Unable to verify code who send to phone number to open apps for first time until now.
Yohana Gloria Sitompul,5,4/17/2022 1:34,"Good apps, easy to use"
Leo Budiharto Kusumo,1,4/16/2022 15:52,"Payah aplikasi nya, tiap mau pre order selalu dibilang tidak ada lokasi terdekat padahal resto nya di depan mata. Di scan barcode di resto selalu muncul :""invalid',mau order delivery lgsg gagal/ditolak. Benerin tuh, aplikasi apaan ini. Udah uninstall dan install pakai nomer hp baru jg sama aja. Payah!"
Errin Rin (Rinrosejie),2,4/15/2022 12:15,App seharusnya oke.. Cm pas pesen dine in ribet jg ya musti kofirm ke kasir :') jd ga contactless
nathan,1,4/14/2022 14:02,"Mau bayar pakai ovo susah banget, malah bikin rusak OVO. Improve"
Bayu Suncoko,4,4/11/2022 5:38,baik
salwan faqih,2,4/10/2022 10:23,Where's the code?
David Yoga Permana,5,4/9/2022 10:11,good
Mikael F,5,4/8/2022 1:32,asik nih dapet crown bs tuker gratisan nyahahaha
Budi Sardjono,5,4/6/2022 4:25,lucu tampilannya
Van V,1,4/5/2022 11:33,Verifikasi pakai OTP.. tapi OTP ga dikirim2.. sudah resend berkali2..
rigid wei,2,4/4/2022 13:46,Pelayanan tidak ramah
Detri Avinia Kusnanto,5,4/4/2022 10:04,mantaaappiu
Kok Kui,1,4/3/2022 13:04,"Kupon free pengguna baru tidak bisa dipakai alasan stok kosong, malah orang sudah beli yg lain, kupon juga hilang, tidak ada niat hanya agar pengguna beli produk yg lain tanpa dapat free produk yg dipromosikan"
edy purwanto,5,4/3/2022 7:55,mantul..
Nexi,2,4/2/2022 9:47,"Nipu, uda install ga dpt kupon free plant based burger nya. Padahal baru pertama x."
Mur Baut,5,4/2/2022 9:00,nice
denny wahyu,5,4/1/2022 9:44,Good serve..
Jimmy Christian (kijangweb),1,3/28/2022 8:19,"bosen dah, ayam mlulu. undian ongkir pajak biaya membengkak. boring"
Christian Sirait,5,3/27/2022 6:33,The Best burger in Indonesia
Hindro,1,3/27/2022 6:09,Payaaaaaah server ya ga beres..... Ga bisa login
Defrie Jhon,5,3/20/2022 1:31,sangat berguna
Jacked and Ripped,5,3/17/2022 13:24,good app
Satary Zalusky,5,3/17/2022 10:18,ok
Merry Sri,5,3/17/2022 8:01,good
Fathan Nahar,1,3/15/2022 13:34,aplikasinya bagus tapi CS nya gak membantu
G M Yani,1,3/13/2022 13:07,Kalau di banding McD. Jauh dech... Coba menu delivery nya.. ga jelas mana jenis burger yg kita pesan krn warna package-nya sama. Kalau Mc D dari warna kemasan burgernya saja sdh jelas jenis burger apa yg kita pesan. Burger king mah warna package nya sama dan hanya ditulis spidol yg ga kebaca tulisannya
Chandra Fibriana,1,3/13/2022 10:10,Utk completing profile aja gak bisa. Gimana aplikasinya mau dipakai?
Aldoy Doycast (Rizqi Aldilah),3,3/13/2022 6:56,"Tolong dibuat opsional outlet terdekat, karena jika outlet ditentukan oleh aplikasi sering dikasih outlet yang agak jauh. Semangat BK!"
Aris Muh.,5,3/13/2022 4:40,"love the burger and the chicken. always present the perfect chicken's cooking. not like others, sometimes dry outside rare inside. i love BK."
Dini nila pertiwi,5,3/10/2022 3:29,nice
ferryfirman32,5,3/9/2022 4:35,good apps.. interaktif with delicious foods
Iqbal Ridalta Putra,1,3/6/2022 12:35,Cant register.
Nandiwardhana Dharmmesta,1,3/6/2022 7:37,"Beberapa kali pesen dari aplikasi ini makan dine in, udah nunggu 30menit harus disamperin kekasir dulu baru di proses, kalo ga disamperin, ga bakal diproses kali"
Denny Yorke,1,3/3/2022 11:33,"Aplikasi nyusahin, menu gak lengkap. Gak guna pake aplikasi ini"
Eilien Flo,3,3/1/2022 4:33,ga meyakinkan aman & promony ad yg ga jls
Veirry Augusman,1,2/28/2022 5:38,"Pengiriman lambat banget, Masak sendiri lebih cepat. Astaga"
Denny Warisman,5,2/26/2022 9:21,best
Ati Prita,3,2/26/2022 4:23,Berharap ada pembayaran via nomor rekening.
Yuko Beltran,1,2/25/2022 4:41,session expired. login tapi dibilang tetep expired. Developer nya kuliah dimane dah?
Pupunks Akhmad,1,2/23/2022 11:42,"Sangat disayangkan tidak ada pilihan pembayaran cash, tidak semua orang memiliki aplikasi pembayaran non cash."
Steven Wiliam,1,2/18/2022 11:23,"Baru pesan delivery, note tertulis minta paha atas paha bawah datang paha bawah sayap! Itu 2 2 potongan kecil, menu potongan besar kecil! Note g baca ngapain kalau begitu? Mending langsung kita tekan request yang diinginkan. Sungguh mengecewakan"
zuura taa,5,2/16/2022 5:02,ok
sri sadono,5,2/12/2022 4:22,Jelas dan Cepat
Viana Rolos,5,2/10/2022 11:29,good apps
Oktavianti Putri,5,2/10/2022 1:05,Sangat bagus untuk lapar
Naufal Abdurrahman Burhani,5,2/4/2022 17:31,mantaps
xabre4,5,2/3/2022 11:53,awesome
Ronal Carlos089,4,2/1/2022 11:07,Loves
krisna aditya,5,1/30/2022 6:04,bagus
bugs tama,1,1/29/2022 2:35,"Order utk dine in lebih baik ke kasir langsung karena tidak semua outlet menunya lengkap, saya harus switch menu karena bogo plant based dan double choco pie tidak ada di salah satu outletnya dan pesanan saya tidak bisa dicancel dari outlet maupun aplikasi saya."
The Ardias,1,1/28/2022 12:09,No otp code has been received after countless request
Ivan Fajar Kusuma,4,1/22/2022 11:26,thanks very much burger king
"Ramadhani, F",5,1/22/2022 7:28,the best food app
Hienny Aliaman,5,1/22/2022 4:06,Burger King uenak banget burgernya
Sam Jarot Permadi,1,1/21/2022 22:15,Failure system!!
Josy Tjhang,5,1/21/2022 12:46,delicious
Adit R (Funpo),5,1/21/2022 6:26,great apps
Nadia Amani Alya,5,1/16/2022 10:24,manteep bisa contactless
Lucky,1,1/16/2022 5:53,"i tried to sign in i've never use this app before but when it comes in just ond last button ""continue"" it says ""unable to parse server response, please try again later"" but the great things is i've already try it in a couple days and had nothing to change really dissapoint me BK"
NBC,5,1/15/2022 6:55,keren
Iffah Musdalifah Parawansyah,5,1/14/2022 5:25,the best
Jack Combo,1,1/14/2022 4:25,kontolodon
Prihadi Geyan,5,1/9/2022 4:13,Nice
MarCel,4,1/9/2022 3:17,delicious!
Lovina Raia,5,1/8/2022 4:07,gokss banget sih burger king
Fadjri Imam Ramadhan,5,1/6/2022 14:35,keren appnya
Eri Basuki,4,1/3/2022 5:44,make easy
Nigeria media report,5,1/1/2022 10:22,good
anoithenk,3,12/29/2021 9:49,sinyal sulit pakai apps juga sulit
Faris Hafizh Makarim,1,12/28/2021 4:38,"Saat mengklaim reward, katanya akan jadi satu saat kita beli pesanan utama di dine in, tapi di kasir BK nya hanya masuk pesanan utamanya."
H H,5,12/27/2021 7:31,good
Bustomi Tomi,5,12/25/2021 23:57,oke apps nya dan banyak diskonnya
Fajar Abdillah (1st Account),1,12/25/2021 14:13,"Can't receive OTP code, app always error"
Dhandyaprisar [D.A],5,12/23/2021 4:02,Nyam...nyam
Rendy Toule,1,12/22/2021 9:10,"Coba registrasi, tapi SMS kode verifikasinya tak kunjung diterima. Udah coba 2 provider, Telkomsel dan IM3, dan coba berkali2, tetep gak ada SMS masuk. Uninstalled."
Edoar Thomas,3,12/22/2021 4:37,"Nice app, easy use to use but very limited payment metode."
mahari kurniawan,5,12/19/2021 14:43,so far this apps running well
gilang lesmana,1,12/19/2021 5:23,"kasir tidak menanyakan sudah memiliki app burger king indonesia, jadi ketika sudah install baru tahu bahwa ada reward, sayang sekali padahal jika purchase over 100k tidak ada point reward"
Evira Yunita,5,12/18/2021 7:45,Nice UI
Aprinto Jos S,5,12/17/2021 12:49,Order by using BK's app is fast and able to get more benefits ...
Farhan Ubaidillah,5,12/16/2021 13:24,Saya cinta burger king
dummy nation,5,12/16/2021 13:16,mantul
ivantz,5,12/15/2021 11:04,The best burger
Hendra Thio,5,12/11/2021 9:17,Good Burger Ever!
Bara Musyaffa,2,12/11/2021 4:48,Unable to parse server response.Please try again later and later and later and later
JB Reload Pulsa,5,12/11/2021 1:40,Burger yang bikin ingin beli lagi....
Raedist Kautsar,5,12/10/2021 12:21,Keren
William Samuel,5,12/10/2021 4:01,Stable App
Intan Yasinta,4,12/8/2021 7:54,kadang pihak Burger King tidak informatif terkait promo2 yg sedang berlangsung sehingga Kita tidak bisa menikmati promo yg sedang berlangsung. kl *takut* rugi jgn bikin promo dungs...
Zukli Novadwyanto,5,12/7/2021 13:47,yummy
Candra Wirman,5,12/7/2021 7:35,great
Rin - Rin Rochilie,5,12/6/2021 4:56,Awesome 
Yoeda Yuda,1,12/5/2021 14:50,"Uda coba register pake 3 nomer, OTP nya tetep ga masuk2.. ga jelas"
Aditya Brandon,5,12/5/2021 13:00,Nice apps
Kimi Kyo,4,11/30/2021 23:17,"Was great app and use it alot but it strange, just redeem 10 crowns for coke, not yet use it but when i want use it last night the coupon gone... overall this app is good choice to use, and there is free delivery fee to,"
dione kris,5,11/30/2021 2:45,Happy always..
Papi Heru Gembul,5,11/27/2021 23:28,mantap selalu
Andwira iskandar,4,11/27/2021 23:22,wheres the coupon???
Zaqi Fahmi,5,11/27/2021 10:47,mantap
Bendry Mansur,5,11/26/2021 13:29,Rancak bana dan luamak...
Emanuel Paembonan,5,11/25/2021 13:11,aplikasinya bagus
pilotgaruda,5,11/24/2021 23:31,cool
super danity,1,11/23/2021 23:11,Setiap disuruh masukin kode otp selalu force close.
yanuar adi,5,11/23/2021 7:03,good
ikhwan pratama,1,11/22/2021 11:03,Mending pesen langsung lebih cepet daripada scan2 barcode parah lamanya
Riguna Fazar,4,11/21/2021 10:30,"Sebenernya OK, sih. Cuman pas di transaksi terakhir, kok, ga bisa bayar pake GoPay. Malah aplikasi GoJek ga terdeteksi."
Dharma Ayu,1,11/20/2021 8:31,Ga berfungsi
Claudio Fonataba,5,11/20/2021 2:32,sangat mempermudah dan bagus
Daniel Simanjuntak,1,11/19/2021 12:10,"Coba pake Pre Order Takeaway, kirain setelah bayar langsung disiapkan orderan saya, ternyata harus konfirmasi dulu ke kasir baru disiapin, sama aja dengan antri. Aneh..."
Tedy Heryanto,1,11/19/2021 7:13,Mau register ngak bisa bisa terus
rashinta intan,1,11/19/2021 2:03,"I cannot sign in, it always go back to my homepage"
Dino Virgianto,5,11/17/2021 20:00,"so much promotion in this app, love it"
Surya,2,11/16/2021 6:28,"Aplikasi bagus. Sampai ketika terjadi kesalahan sistem (begitu kata CS nya). Jadi udah order nunggu lama, ada kesalahan malah di cancel. Orang beli makanan jangan disamain kayak beli barang. Jam istirahat jadi lewat, laper. Mengacaukan segalanya."
Aryo Tunjung Kusumo,5,11/15/2021 5:43,Good app
Yogo Waskito,2,11/13/2021 13:30,"Perlu diperbaiki sistem delivery dengan pihak gojek, saya pesan delivery lbh dari 1 jam baru sampai. Sangat mengecewakan utk service delivery nya.."
Hansy Passarella Setiadji,5,11/13/2021 8:13,plenty of choice
Chrissy Alesandra Kartadjoemena,5,11/12/2021 8:27,easy to use. great apps
Timothy John,5,11/12/2021 5:09,"Great apps, easy to use"
ramadana ardian,5,11/11/2021 6:51,good app
Belinda Harmond,1,11/10/2021 20:43,"Saya order jam 1 pagi, entah sistemnya error atau gmna, aplikasinya malah order dr outlet yg udh tutup. tapi aplikasi ini ga ada pilihan untuk cancel stelah saya bayar, jadi yg cancel dr driver nya, yg secara otomatis orderan saya ga tercancel sepenuhnya dan malah cari driver lain. skrg udh jam 4 pagi aplikasi nya masih rolling driver terus, udh ga keitung brapa driver yg kena dan harus cancel, performa gojek mereka pun turun jadinya. udh saya ga jadi makan, uang saya nyangkut"
Red Rodger,1,11/9/2021 10:19,Transaksi lebih dari 5x dalam seminggu langsung autoblok. Kayanya memang burger king lebih suka sepi yah.
Agi Prayogo,4,11/8/2021 8:17,mantabhh
agung sartono,5,11/8/2021 3:13,Okay application
Juniardi Hartanto (JiHoPedia),1,11/6/2021 1:58,"Berhenti kirim email promo ke saya, saya ingin unsubscribe email tetapi tidak bisa. Email saya jadi penuh"
Mufti Ali,5,11/5/2021 11:21,Great App
rochi Wijaya,5,11/5/2021 5:37,mantap
Dimas Firdaus Kusuma Wicaksono,5,11/4/2021 10:16,this is the good apps
Andrian Ismail,3,11/3/2021 10:51,"payment yg berlaku hanya bisa di e-wallet aja, susah untuk payment, mestinya sediakan juga untuk cash atau debit dong"
Jefri pratama,5,11/3/2021 1:42,ah mantap
Amel Fitriani,5,11/2/2021 8:22,good app
Uday Mu'ammar,5,11/2/2021 7:04,Nice
Hildan Rizky Ramadhan,1,11/1/2021 0:27,"My session has expired, and the app is asking me to logout and then login, but since my account logged out by itself, when i enter my phone number the app keep saying ""your session has expired, please logout and login again"" without any logout button or something, now i can't access my bk app.. please fix it soon"
Andre Pratamaputra Rudiyanto,5,10/31/2021 12:52,hjyuu
Suzan P,1,10/30/2021 10:22,"Pernah beli pakai aplikasi ini, drivernya tidak bisa di telpon, sudah tunggu 1 jam lebih, masih digantung orderan saya. Sudah dingin makanannya. Tidak Ada pengganti driver dari gojek."
Nofita Bhanuwati,5,10/30/2021 10:22,"it's my first time using this app, and it's great. thanks"
Miswanto,5,10/29/2021 10:02,Simple application and good promotion Burger King Indonesia
Putu Suwastika,5,10/28/2021 15:17,Great
revan dewa putra,1,10/28/2021 3:49,"Tolong disable payment method shopeepay ya, saya sudah pesan 2 kali tapi kedua pesanan tidak di konfirmasi pembayaran nya oleh app BK. Waktu saya sudah hilang 40 menit, dan uang saya masih belum kembali. Pesanan pertama ke autorefund tanpa saya cancel, tapi pesanan kedua ini tidak dan masih menunggu pembayaran padahal saya SUDAH bayar. Saya tidak mau berurusan dengan CS dan harus menunggu refund, karena ini salah dari app dan waktu saya penting."
Iis Sania,5,10/27/2021 21:14,my fav burger
Ikrar Mandiri,5,10/26/2021 22:58,mantab
Liana -,1,10/26/2021 11:15,"Really annoying, trying to register, enter my mobile number, waiting for OTP but never come out !!"
Alias Masyeye,2,10/26/2021 10:59,Install cuma mau kasih bintang 2 untuk pelayanannya yang kurang memuaskan di BK pwk.
MASTER BANDUNG,1,10/26/2021 1:38,"Register > email already used forgot pass > email not found sign in > invalid whew,.. what an awfull apps"
Salsabila Zahirah,5,10/25/2021 7:20,yeay dapet fish burger
Taufiq Ismail,5,10/24/2021 1:44,"easy to use, great app"
Ananda Findez,1,10/23/2021 7:47,"Aplikasi bagus, lancar, pembayaran juga aman. Tapi apa gunanya contactless dine-in kalau tetap harus antre dulu untuk konfirmasi order? Ini sudah terjadi di 2 cabang: salemba (seberang UI) dan margo city"
Dhea Arintiara,1,10/23/2021 3:47,"Baru download tapi udah bilang ""session expired"" waktu mau daftar. Padahal cache udah dihapus. Tolonh diperbaiki buat tim developernya"
Faisal Fariz,5,10/22/2021 10:03,Great
Rizqillah Thabrany,5,10/21/2021 4:42,The most tasty food with high quality ingredients
EDDIE DJ,5,10/20/2021 12:44,nice App
Ferdy Santosa Hanapi,2,10/20/2021 9:44,"Jgn pernah pesan ice cream pakai delivery order, karena pakai jasa external yg menyebabkan pengiriman lebih lama, sehingga ice cream sudah menjadi cair"
lalu imam syaputrawan,5,10/20/2021 6:51,nice app ever
Okta Reza ST,5,10/20/2021 4:34,easy to use
Roy Rhe,1,10/20/2021 2:04,Buat bayar aja susah amat.... Aplikasi sampah.... Harusnya Burger King pecat developer kaya gini... Karna bikin malu nama besar BK
Marlene Susanto,5,10/20/2021 1:12,good
Victor Chivaldo,1,10/18/2021 11:11,"aplikasinya error pas order, estimasi arrive jalan, tapi orderan ga di proses proses nunggu hampir sejam. harus ditelpon baru direspon. alhasil mo makan burger aja harus nunggu 2 jam!"
Stoutpuppy GFX,1,10/18/2021 7:29,Asks for phone number and then never sends sms to login with code. Wife has same problem . . App is useless
Andry Daeng,5,10/17/2021 10:46,mantap
AWAN 83,5,10/17/2021 6:46,nice app
Kenfeii,1,10/16/2021 12:56,balikkan 25rb 2 ayam 2 nasi
B R A N D O N ozora,5,10/16/2021 12:01,good app
Wisnu VirGo,5,10/16/2021 11:25,good
zuky BWangsa,5,10/15/2021 9:49,mantab
Sari Ifdiana Jalal,2,10/12/2021 7:26,susah sekali mau bayar..... coba pake go*** atau o*o sama sajah..... selalu berakhir gagal... padahal app.makanan yg lain2 aman2 aja
Kentang Goreng,1,10/10/2021 10:13,"Aplikasinya ga masalah, kasirnya yg tolol. Order udah lama tp ga di accept di layarnya jadi ga di bikin2 pesenan gw. Order di aeon jgc mall 10 okt. Jam 16.38. Bahkan pesenan sundae strawberry nya gada padahal di aplikasi ready. Cetak struk pun lama bgt. Kalo man powernya ga siap mending ga usah canggih2 pake aplikasi."
Ultevo,3,10/10/2021 5:50,Ga bisa ganti nomer?
Casanova Rendezvous,1,10/7/2021 3:38,"Aplikasi sering nutup & berhenti dengan sendiri-nya, serta tidak dapat menjalankan program shake-nya,"
Florida Hutapea,5,10/5/2021 5:15,"Untuk kasir top banget, sampek mo nangis krn terharu, cepat sekali geraknya. Ramah dan sopan. Burger king terkusus kawasan mega mas semoga makin sukses. Pertahankan pelayanannya. Top banget"
Rudy Gunawan,1,10/1/2021 13:25,Otp ga masuk2 neh. Kurang ok..
Kenneth Angelo,1,9/29/2021 14:25,"Waiting for 3 hours just for waiting the meal delivered, biggest regreat using this apps to order BK"
Hendrik Pandean,1,9/29/2021 8:21,"Already input the correct OTP, but it say wrong OTP!!! Can i rate under 1 star? This app deserve worse than 1 star"
Danang Budi Pratama,1,9/24/2021 8:30,app sampah
tommy sumargo,3,9/23/2021 5:10,"You have to be 200 metres to order, how impractical."
Christian Bintoro,1,9/21/2021 21:02,"Udah pernah join, trus mau login lagi ga bisa, harus join ulang. Mau join ulang juga ga bisa karena email udah pernah digunakan. Trus login nya gimana???!!"
Safira Firly Mafaza,5,9/21/2021 7:31,Awesomeeeer
Helmi Aditia F,5,9/18/2021 8:32,"aplikasinya bagus, pembayaran nya mudah sekali"
Ronal Andadinata,1,9/18/2021 1:23,"OTP tidak pernah datang, tidak bisa login"
Revel Leno,1,9/17/2021 13:20,"Cukup saya pakai aplikasi ini. Beberapa kali saya pakai aplikasi bk untuk pesan. Kesannya mengecewakan. secara harga sedikit lebih murah dibandingkan dengan ojek. Tapi waktu tunggu nya jauh lebih lama. Entah knp aplikasinya nyari driver nya jauh2, jadi lama. Hari ini pesen lagi paling kecewa. 30 menit gak ada kabar. Store bk dan driver gak ada yang bisa dihubungi. Mau di cancel juga gak bisa. Nunggu kelaparan dan gak jelas. Nanti install lg kalau ada fitur cancel order."
Fazrin Nadhifa,1,9/17/2021 6:11,"Tolong nomor otpnya gak ada yang bisa sama sekali. Udah berkali-kali resent tapi gak ada yang berhasil. Gimana sih ni. Kalo bisa kasih rating 0, saya kasih."
Ratu Rizqy,3,9/16/2021 5:21,Lama banget dateng makanan nya hampir 1 jam
Minaga Salon,1,9/8/2021 8:13,Selalu ketinggalan menu terutama minuman...salah penyajian tdk sesuai request...kentang goreng keju hnya di ksh kentamg goreng tanpa keje...burger king green teras
aditya ananda,1,9/5/2021 8:02,ini app buat apa kalau saya bayar dine in lewat app ini lebih awal daripada yg pesan di kasir langsung TETAPI yg pada bayar di kasir didahulukan!
MEGA KRISTIN,1,9/3/2021 16:51,"Parah sih email gw dipake orang lain. Gw ga bisa daftar, the notif said 'email has been used'. Login nya based on phone number, daftar pake email. Lu gimana deh bikin aplikasi."
Audrey Saerong,5,9/2/2021 9:47,Love it! I can earn and redeem crown with BK Products.. nice apps
M Dewi,5,9/2/2021 9:10,Good apps and very easy to use
Umi Fauziah,5,9/2/2021 9:09,"Easy to use , good aps"
Indah Chindarwani,5,9/2/2021 9:08,Good :)
M. Rizky Adia Surbakti,5,9/2/2021 8:49,"Application The application is simple, just click the menu in the application, the message is complete, you get a crown and every purchase."
"Liqua Health & Spirulina Re-vita, USA",1,8/31/2021 16:00,Memaksa user untuk menggunakan pembayaran pihak ketiga. Sangat absurd tidak memiliki metode pembayaran tunai.
Farrel hugo Yuanagung Nugroho,1,8/27/2021 15:12,Many buffer in this app
Muhamad Sanusi,1,8/22/2021 1:01,Sayang Tidak ada pilihan pembayaran selain FINTECH.
Hesti Indah Sari,2,8/20/2021 11:38,200 meter radius is ridiculous. The reason i want to pre order take away is because i want my order to be ready when i arrive and that means i have to order while I'm on street
Andri -,5,8/18/2021 14:00,"Good, love it. :)"
Firion Cen,5,8/14/2021 18:52,Very good apps to delivery order using gosend
Andreas Suherman,1,8/13/2021 4:46,"Udah isi data, ga bisa register di Xiaomi Redme 5A."
OSS,5,8/12/2021 12:19,Good
Anna Novitasari,1,8/12/2021 12:19,"First impression on otp, i cant clik the submit button it stuck, after i go back and submit phone number again it goes to home page without input otp. Slow loading on every button i click."
Nadya Putri,5,8/11/2021 13:40,"bk resto yg pelayanan nya cepet bgt, ramah jugaa. mereka juga sngt tanggap menerima keluhan konsumen., thx u BK"
eva nurjanah,3,8/7/2021 7:59,"Sebaiknya map d munculkan, sehingga tau keberadaan driver sdh sampai mana"
Fitrianingrum Seto,1,8/7/2021 6:39,"Saya sudah sekitar 4x mau nukerin reward di cabang Green Pramuka Square. Tapi ga bisa katanya karena gangguan di pusat. Pusat mana?? Jadi sia2 ngumpulin reward, tiap mau ditukar, ga bisa. Trus jadinya tiap kali beli juga rewardnya ga bisa masuk! Sangat mengecewakan. Tidak usah ada app nya saja sekalian.."
M Alamsyah Rony,2,8/2/2021 10:46,Unable to pay cash (COD) for the delivery order. :(
