Reviewer,Rating,Date,Review
Faisal Yulyanto,1,6/1/2024 10:46,nice burger but not the money
Micky Pratomo,1,5/21/2024 16:56,Aplikasinya tidak diperbaiki. Peta lokasi pengantaran tidak bisa di edit dan sering salah alamat.
Yusuf Azari,5,5/19/2024 14:54,Very good
Tengku Indra Utama (Indra),5,5/19/2024 1:55,nice resto..
Hendayati Hendayati,1,5/17/2024 5:21,no saya kok invalid mau login
nishima ayumu,1,5/14/2024 5:19,"Mau daftat, malah sms nya ga kebaca"
Ivan Dharmawan,1,5/13/2024 14:22,Juru parkir Burger King Salemba tidak menerima uang parkir dengan kondisi robek yang masih berlaku sesuai peraturan BI.
Naomi Octovia,5,5/9/2024 14:00,enakkkk tenan
Michael Awarsa,5,4/22/2024 18:18,Fast respon dari customer service dan dari developer
Lucky Bastard 7 (Habil),1,4/22/2024 14:22,Tombol Bayarnya Nge Bug... Nda Bisa Saya Bayar... Udah Pencet Berulang Kali.. Gk Bisa.. Mohon Perbaiki Masalah ini�.
Dipta Pradnyana,1,4/21/2024 21:03,"Order lewat app, tapi dicancel terus dan uang tidak direfund"
Feifee _08,5,4/17/2024 12:20,BAIK BANGETT
baechu,5,4/16/2024 14:24,aplikasi ringan. saking ringan nya g ada opsi ganti nomor telepon update : ok sdh sy hubungi lewat email. saran sy tambah fitur gnti email & no tlp kak
Surya Budi Widagdo,1,4/10/2024 11:55,Order saya dicancel BK karena BK tidak dapat driver online yang mau mengirim
derry sandy kurniawan,3,4/9/2024 5:10,"gatau salah HP atau dari apps atau provider , tpi terkadang loading terus ,padahal buka IG lancar , sesama provider bisa buka , apps yg hp , entah hp yg jelek *poco f5 , makanya loading terus , akhirnya pake IG aja , buat promo nya , entah apps nya yg perlu di improve ato hpnya yg perlu diganti , case nya seperi buak ms teams"
Humphrey Tedjautama,1,4/8/2024 2:04,Mau bayar delivery pake m-banking aja ribet banget...
Ryx Arkhalyx,1,4/6/2024 3:27,"stupid app, doesnt work"
El Primo Gemilang,5,4/2/2024 9:11,"Padahal download demi majikan bisa cobain Meowpper. Kecewa. Note : aplikasi ok, pls send meowpper"
IQBAL,5,4/1/2024 11:29,thnk you bk
Premium One Property,5,4/1/2024 1:15,delicious
Amir Elhussein,1,3/31/2024 11:09,"What a bad service you have Burger king indonesia is the worst, i ordered for break the fast and was waiting for my food but just when it's time to break the fast i got a notification from burger king app that my order has been cancelled! And the worst is that you didnt refund my money.. The worst service of burger King I've ever had is burger king indonesia.. 0 star service!"
