"conversation_id_str,""created_at"",""favorite_count"",""full_text"",""id_str"",""image_url"",""in_reply_to_screen_name"",""lang"",""location"",""quote_count"",""reply_count"",""retweet_count"",""tweet_url"",""user_id_str"",""username""";;;;;;
"1895482024418537579,""Fri Feb 28 14:31:45 +0000 2025"",""0"",""@kredivo kredivo nih lagi error? Udah bayar daritadi jam set 7 sampe sekarang belum berubah statusnya padahal pake va Tolong banget dong benerin temen saya pake va bca langsung terverif kok"",""1895482024418537579"","""",""kredivo"",""in"",""Since 2021"",""0"",""6"",""0"",""https://x.com/tinystaar/status/1895482024418537579"",""759644152262864897"",""tinystaar""";;;;;;
"1895290500896403512,""Fri Feb 28 14:25:28 +0000 2025"",""0"",""@clickmeplis setia sama fore"",""1895480442868187622"","""",""clickmeplis"",""in"",""Nomaden"",""0"",""1"",""0"",""https://x.com/gumwybear/status/1895480442868187622"",""157956099"",""gumwybear""";;;;;;
"1895478206339428805,""Fri Feb 28 14:16:35 +0000 2025"",""1"",""Season 1 : wonpil bantal guling Season 2 : wonpil kalah terus + naik kapal + ditinggal mam pas main petak umpet Season 3 : wonpil cm makan onigiri sama popmie WONPIL DESERVE AKU TRAKTIR BUBUR PELANGI LAOTA BEBEK PANGGANG SETENGAH PORSI ROTI O 1 LUSIN SAMA KOPI FORE"",""1895478206339428805"","""","""",""in"",""the darkest side of my brain"",""0"",""0"",""0"",""https://x.com/GomJjinPengSoo/status/1895478206339428805"",""1780916913188786176"",""GomJjinPengSoo""";;;;;;
"1895447501433680293,""Fri Feb 28 14:15:28 +0000 2025"",""0"",""@gurzgesagt Hari ini gajian hehehehe terus tadi pertama kalinya diajakin jajan sama anak magang! Nyobain Fore Iced butterscotch milk crumble dan enak bangettt"",""1895477927921520908"","""",""gurzgesagt"",""in"","""",""0"",""1"",""0"",""https://x.com/effervescent___/status/1895477927921520908"",""268124308"",""effervescent___""";;;;;;
"1895476600227180914,""Fri Feb 28 14:10:12 +0000 2025"",""0"",""nokos star 3k tersedia untuk wa tele gmail gojek grab maxim shopee ovo lazada dana kakaotalk fore coffee google youtube. garansi dan no garansi bisa ditanyakan lewat wa fsr sat set. #zonauang"",""1895476600227180914"","""","""",""in"",""close dm, wa only"",""0"",""0"",""0"",""https://x.com/_kitheu/status/1895476600227180914"",""2417656292"",""_kitheu""";;;;;;
"1895476430932471927,""Fri Feb 28 14:09:32 +0000 2025"",""0"",""kopi kenangan + fore = nyata begadang malam ini :)"",""1895476430932471927"","""","""",""in"","""",""0"",""1"",""0"",""https://x.com/chanthename/status/1895476430932471927"",""280424593"",""chanthename""";;;;;;
"1895439174742028483,""Fri Feb 28 14:02:03 +0000 2025"",""0"",""@kogaerashi BA Fore rehat dulu ya?"",""1895474551695589560"","""",""kogaerashi"",""in"",""Cyber, 21+"",""0"",""0"",""0"",""https://x.com/Reposetory/status/1895474551695589560"",""1629665754"",""Reposetory""";;;;;;
"1895473160826548521,""Fri Feb 28 13:57:23 +0000 2025"",""0"",""fore aren sama krosan enak tp anjim ujan deres bgt males keluar kamar"",""1895473374476001754"","""",""emosi"",""in"",""bucinku"",""0"",""0"",""0"",""https://x.com/emosi/status/1895473374476001754"",""562497658"",""emosi""";;;;;;
"1895472228239802736,""Fri Feb 28 13:52:50 +0000 2025"",""0"",""baru inget beli fore td ahshakjshs blm keminum masi di kulkas"",""1895472228239802736"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/pirxly/status/1895472228239802736"",""1299670039839162369"",""pirxly""";;;;;;
"1895466835774161003,""Fri Feb 28 13:31:24 +0000 2025"",""0"",""guys ada yang mau voucher kopi fore diskon 50% sampe 35rb tidak ya? aku ada voucher new user nya fore hari ini terakhir aku baru ngeh tp aku dah terlanjur beli kopi :(("",""1895466835774161003"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/hanmeowwsan/status/1895466835774161003"",""1474668883868930049"",""hanmeowwsan""";;;;;;
"1895440120624341162,""Fri Feb 28 13:30:21 +0000 2025"",""0"",""@munvess Gas temenan coba butterscotch sea salt latte nya fore?"",""1895466572065689718"","""",""munvess"",""in"",""He, Hiranya. | READ BYF :"",""1"",""0"",""0"",""https://x.com/Vinmsmoke/status/1895466572065689718"",""1570339473715765251"",""Vinmsmoke""";;;;;;
"1895465848145666078,""Fri Feb 28 13:27:28 +0000 2025"",""0"",""Ehhh besok gabisa pesen fore siang hari bolong dong"",""1895465848145666078"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/choisanniegf/status/1895465848145666078"",""1844416499924205572"",""choisanniegf""";;;;;;
